strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	division_exposure	location	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	Publication doi if not on GenBank	date_submitted	note
France/HF1986/2020	ncov	EPI_ISL_414634	?	2020-03-04	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29902	Human	60	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	comes from Crépy-en-Valois, Oise, Hauts-de-France
France/HF1988/2020	ncov	EPI_ISL_414635	?	2020-03-04	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29903	Human	70	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/HF1989/2020	ncov	EPI_ISL_414636	?	2020-03-04	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29902	Human	95	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/HF1993/2020	ncov	EPI_ISL_414637	?	2020-03-04	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29903	Human	68	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	travel from Madagascar
France/HF1995/2020	ncov	EPI_ISL_414638	?	2020-03-04	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29903	Human	86	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/HF2039/2020	ncov	EPI_ISL_415649	?	2020-03-05	Europe	France	Hauts de France	Hauts de France	Crépy en Valois	genome	29882	Human	43	Female	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-18	
France/HF2060/2020	ncov	EPI_ISL_418223	?	2020-03-05	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29836	Human	87	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2150/2020	ncov	EPI_ISL_418224	?	2020-03-08	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29836	Human	54	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2151/2020	ncov	EPI_ISL_415653	?	2020-03-08	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29882	Human	53	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-18	
France/HF2155/2020	ncov	EPI_ISL_418225	?	2020-03-08	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29836	Human	89	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2174/2020	ncov	EPI_ISL_415654	?	2020-03-09	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29882	Human	37	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-18	
France/HF2196/2020	ncov	EPI_ISL_416493	?	2020-03-08	Europe	France	Hauts de France	Hauts de France	Château-Thierry	genome	29882	Human	87	Male	CH Jean de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/HF2234/2020	ncov	EPI_ISL_416495	?	2020-03-10	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29882	Human	70	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/HF2237/2020	ncov	EPI_ISL_416496	?	2020-03-10	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29869	Human	45	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/HF2239/2020	ncov	EPI_ISL_416497	?	2020-03-10	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29862	Human	93	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/HF2381/2020	ncov	EPI_ISL_418226	?	2020-03-09	Europe	France	Hauts de France	Hauts de France	Crouy en Thelle	genome	29882	Human	91	Male	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2393/2020	ncov	EPI_ISL_418227	?	2020-03-12	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29822	Human	91	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2405/2020	ncov	EPI_ISL_418228	?	2020-03-12	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29843	Human	63	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2496/2020	ncov	EPI_ISL_418231	?	2020-03-15	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29777	Human	79	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2586/2020	ncov	EPI_ISL_418236	?	2020-03-16	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29882	Human	88	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2595/2020	ncov	EPI_ISL_418237	?	2020-03-16	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29870	Human	69	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2597/2020	ncov	EPI_ISL_418238	?	2020-03-16	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29882	Human	72	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2601/2020	ncov	EPI_ISL_418239	?	2020-03-16	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29864	Human	68	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF2748/2020	ncov	EPI_ISL_420041	?	2020-03-17	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29879	Human	63	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/HF2797/2020	ncov	EPI_ISL_420044	?	2020-03-18	Europe	France	Hauts de France	Hauts de France	Château-Thierry	genome	29879	Human	87	Male	CH Jean de Navarre	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/HF2946/2020	ncov	EPI_ISL_420049	?	2020-03-19	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29879	Human	68	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/HF2948/2020	ncov	EPI_ISL_420050	?	2020-03-19	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29879	Human	83	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/HF3036/2020	ncov	EPI_ISL_420053	?	2020-03-19	Europe	France	Hauts de France	Hauts de France	Château-Thierry	genome	29879	Human	80	Male	CH Jean de Navarre	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/HF3138/2020	ncov	EPI_ISL_420056	?	2020-03-22	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29879	Human	55	Female	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/HF3141/2020	ncov	EPI_ISL_420057	?	2020-03-22	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29879	Human	63	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF0372/2020	ncov	EPI_ISL_406596	?	2020-01-24	Europe	France	Ile de France	Hubei	Paris	genome	29853	Human	30	Female	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-01-29	
France/IDF0373/2020	ncov	EPI_ISL_406597	?	2020-01-24	Europe	France	Ile de France	Hubei	Paris	genome	29809	Human	31	Male	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-01-29	
France/IDF0515/2020	ncov	EPI_ISL_408430	?	2020-01-29	Europe	France	Ile de France	Hubei	Paris	genome	29863	Human	47	Female	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-02-08	
France/IDF1980/2020	ncov	EPI_ISL_414633	?	2020-03-04	Europe	France	Ile de France	Ile de France	Pontoise	genome	29903	Human	86	Male	Centre Hospitalier Rene Dubois Laboratoire de Microbiologie - Bat A	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	link to Paris airports
France/IDF2075/2020	ncov	EPI_ISL_415650	?	2020-03-02	Europe	France	Ile de France	Ile de France		genome	29882	Human	40	Male	Hopital Instruction des Armees - BEGIN	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-18	
France/IDF2256/2020	ncov	EPI_ISL_416498	?	2020-03-11	Europe	France	Ile de France	Ile de France	Garches	genome	29864	Human	71	Male	Institut Medico legal- Hop R. Poincare	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/IDF2278/2020	ncov	EPI_ISL_416499	?	2020-03-11	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29881	Human	81	Male	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/IDF2279/2020	ncov	EPI_ISL_416500	?	2020-03-11	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29753	Human	82	Male	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/IDF2284/2020	ncov	EPI_ISL_416501	?	2020-03-10	Europe	France	Ile de France	Ile de France	Levallois-Perret	genome	29865	Human	56	Male	Hopital franco britannique - Service des Urgences	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/IDF2410/2020	ncov	EPI_ISL_418229	?	2020-03-12	Europe	France	Ile de France	Ile de France	Levallois-Perret	genome	29761	Human	54	Female	Hopital franco britannique - Laboratoire	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/IDF2420/2020	ncov	EPI_ISL_418230	?	2020-03-13	Europe	France	Ile de France	Ile de France	Paris	genome	29779	Human	92	Female	Clinique AVERAY LA BROUSTE, Med. Polyvalente	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/IDF2532/2020	ncov	EPI_ISL_418232	?	2020-03-15	Europe	France	Ile de France	Ile de France	Meudon la Forêt	genome	29830	Human	68	Male	Service des Urgences	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/IDF2533/2020	ncov	EPI_ISL_418233	?	2020-03-15	Europe	France	Ile de France	Ile de France	Meudon la Forêt	genome	29810	Human	87	Female	Service des Urgences	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/IDF2534/2020	ncov	EPI_ISL_418234	?	2020-03-14	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29871	Human	31	Female	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/IDF2561/2020	ncov	EPI_ISL_418235	?	2020-03-16	Europe	France	Ile de France	Ile de France	Vanves	genome	29877	Human	0	Female	Cabinet medical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/IDF2684/2020	ncov	EPI_ISL_418240	?	2020-03-16	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29874	Human	83	Male	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/IDF2768/2020	ncov	EPI_ISL_420042	?	2020-03-17	Europe	France	Ile de France	Ile de France	Orsay	genome	29879	Human	47	Female	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF2792/2020	ncov	EPI_ISL_420043	?	2020-03-18	Europe	France	Ile de France	Ile de France	Paris	genome	29879	Human	54	Female	CMIP	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	UK and Germany. Contact with travelers from South Korea and Russia 10/03/2020. Return on 11/03/2020
France/IDF2848/2020	ncov	EPI_ISL_420046	?	2020-03-17	Europe	France	Ile de France	Ile de France	Gennevilliers	genome	29879	Human	92	Female	EHPAD_IRA	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF2849/2020	ncov	EPI_ISL_420047	?	2020-03-17	Europe	France	Ile de France	Ile de France	Gennevilliers	genome	29879	Human	86	Female	EHPAD_IRA	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF2936/2020	ncov	EPI_ISL_420048	?	2020-03-18	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29879	Human	32	Male	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	travel from Dubai
France/IDF2989/2020	ncov	EPI_ISL_420051	?	2020-03-19	Europe	France	Ile de France	Ile de France	Saint-Thibault-des-Vignes	genome	29879	Human	86	Female	EHPAD_IRA	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3029/2020	ncov	EPI_ISL_420052	?	2020-03-20	Europe	France	Ile de France	Ile de France	Asnières-sur-Seine	genome	29879	Human	58	Female	EHPAD_IRA	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3040/2020	ncov	EPI_ISL_420054	?	2020-03-20	Europe	France	Ile de France	Ile de France	Noisy le Roi	genome	29879	Human	77	Female	EHPAD_IRA	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3163/2020	ncov	EPI_ISL_420058	?	2020-03-20	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29879	Human	76	Male	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3165/2020	ncov	EPI_ISL_420059	?	2020-03-21	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29879	Human	54	Female	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3170/2020	ncov	EPI_ISL_420060	?	2020-03-20	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29879	Human	23	Female	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3212/2020	ncov	EPI_ISL_420061	?	2020-03-23	Europe	France	Ile de France	Ile de France	Paris	genome	29879	Human	65	Female	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3218/2020	ncov	EPI_ISL_420062	?	2020-03-22	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29879	Human	56	Male	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3230/2020	ncov	EPI_ISL_420063	?	2020-03-22	Europe	France	Ile de France	Ile de France	Juvisy-sur-Orge	genome	29879	Human	57	Female	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/IDF3235/2020	ncov	EPI_ISL_420064	?	2020-03-23	Europe	France	Ile de France	Ile de France	Longjumeau	genome	29879	Human	83	Female	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/N1620/2020	ncov	EPI_ISL_414624	?	2020-02-26	Europe	France	Normandie	Normandie	Rouen	genome	29903	Human	?	?	Centre Hositalier Universitaire de Rouen Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	travel from Munich, Germany
France/N2223/2020	ncov	EPI_ISL_416494	?	2020-03-04	Europe	France	Normandie	Normandie	Rouen	genome	29864	Human	62	Male	Centre Hositalier Universitaire de Rouen Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/PL1643/2020	ncov	EPI_ISL_414625	?	2020-02-26	Europe	France	Pays de la Loire	Pays de la Loire	Nantes	genome	29903	Human	59	Female	Centre Hospitalier Regional Universitaire de Nantes Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	MD, treated a patient from Creil, Oise, Hauts-de-France
France/CVL3365/2020	ncov	EPI_ISL_421514	?	2020-03-20	Europe	France	Centre-Val de Loire	Centre-Val de Loire	Abondant	genome	29879	Human	68	Male	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-04-02	
India/166/2020	ncov	?	MT050493	2020-01-31	Asia	India			Kerala	genome	29851	Human	?	?	?	?	Potdar,V., Choudhary,M., Yadav,P.D., Shete-Aich,A.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-06	
Italy/INMI1-cs/2020	ncov	EPI_ISL_410546	MT066156	2020-01-29	Europe	Italy	Lazio	Hubei	Rome	genome	29785	Human	66	Female	INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Capobianchi et al	https://www.gisaid.org	?	2020-02-17	
Nepal/61/2020	ncov	EPI_ISL_410301	MT072688	2020-01-13	Asia	Nepal	Kathmandu	Hubei	Kathmandu	genome	29811	Human	32	Male	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Sah et al	https://www.gisaid.org	?	2020-02-14	
Pakistan/Gilgit1/2020	ncov	EPI_ISL_417444	MT240479	2020-03-04	Asia	Pakistan	Gilgit Baltistan	Iran	Gilgit	genome	29836	Human	40	Female	unknown	Department of Healthcare Biotechnology	Javed et al	https://www.gisaid.org	?	2020-03-26	
Pakistan/Manga1/2020	ncov	?	MT262993	2020-03-12	Asia	Pakistan			Khyber Pakhtunkhwa	genome	29836	Human	?	?	?	?	Zainab,T., Shamshad,S., Noureen,A., Malik,A., Asad,M.J., Rizvi,K.A.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-31	
Spain/Valencia2/2020	ncov	EPI_ISL_414496	MT198651	2020-03-04	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29611	Human	27	Male	Servicio Microbiologia. Hospital Clinico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	Navarro et al	https://www.gisaid.org	?	2020-03-12	
Spain/Valencia3/2020	ncov	EPI_ISL_414598	MT198652	2020-03-05	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	89	Male	Servicio Microbiologia, Hospital Clinico Universitario, Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health.	Navarro et al	https://www.gisaid.org	?	2020-03-14	
Spain/Valencia1/2020	ncov	EPI_ISL_414495	MT198653	2020-03-08	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29849	Human	56	Male	Servicio Microbiologia. Hospital Clinico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	Navarro et al	https://www.gisaid.org	?	2020-03-12	
Spain/Valencia5/2020	ncov	EPI_ISL_416484	MT233519	2020-02-27	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	43	Male	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Dolores Ocete et al	https://www.gisaid.org	?	2020-03-22	
Spain/Valencia4/2020	ncov	EPI_ISL_416483	MT233520	2020-02-26	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	44	Male	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al	https://www.gisaid.org	?	2020-03-22	
Spain/Valencia6/2020	ncov	EPI_ISL_416485	MT233521	2020-02-27	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	58	Male	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Griselda De Marco et al	https://www.gisaid.org	?	2020-03-22	
Spain/Valencia7/2020	ncov	EPI_ISL_416486	MT233522	2020-03-02	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	23	Male	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Neris Garcia-Gonzalez et al	https://www.gisaid.org	?	2020-03-22	
Spain/Valencia8/2020	ncov	EPI_ISL_416487	MT233523	2020-03-04	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	50	Male	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Giuseppe D'Auria et al	https://www.gisaid.org	?	2020-03-22	
Spain/Valencia9/2020	ncov	EPI_ISL_417205	MT256917	2020-03-02	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	45	Male	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al	https://www.gisaid.org	?	2020-03-24	
Spain/Valencia10/2020	ncov	EPI_ISL_417206	MT256918	2020-03-06	Europe	Spain	Comunitat Valenciana	Comunitat Valenciana	Valencia	genome	29782	Human	74	Male	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al	https://www.gisaid.org	?	2020-03-24	
Sweden/01/2020	ncov	EPI_ISL_411951	MT093571	2020-02-07	Europe	Sweden	Småland	Småland	Jönköping	genome	29886	Human	?	?	unknown	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Bengner et al	https://www.gisaid.org	?	2020-02-22	
Taiwan/NTU01/2020	ncov	EPI_ISL_408489	MT066175	2020-01-31	Asia	Taiwan	Taiwan	Hubei	Taipei	genome	29473	Human	50	Female	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Yeh et al	https://www.gisaid.org	?	2020-02-09	
Taiwan/NTU02/2020	ncov	EPI_ISL_410218	MT066176	2020-02-05	Asia	Taiwan	Taiwan	Hubei	Taipei	genome	29870	Human	45	Male	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Yeh et al	https://www.gisaid.org	?	2020-02-13	
Taiwan/CGMH-CGU-01/2020	ncov	EPI_ISL_411915	MT192759	2020-01-25	Asia	Taiwan	Taiwan	Taiwan	Taoyuan	genome	29862	Human	56	Female	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Tsao et al	https://www.gisaid.org	?	2020-02-21	
USA/WA1/2020	ncov	EPI_ISL_404895	MN985325	2020-01-19	North America	USA	Washington	Hubei	Snohomish County	genome	29882	Human	?	Male	Providence Regional Medical Center	Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?	2020-01-24	
USA/IL1/2020	ncov	EPI_ISL_404253	MN988713	2020-01-21	North America	USA	Illinois	Hubei	Chicago	genome	29882	Human	63	Female	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-01-25	
USA/CA1/2020	ncov	EPI_ISL_406034	MN994467	2020-01-23	North America	USA	California	Hubei	Los Angeles	genome	29882	Human	38	Male	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Uehara et al	https://www.gisaid.org	?	2020-01-27	
USA/CA2/2020	ncov	EPI_ISL_406036	MN994468	2020-01-22	North America	USA	California	Hubei	Orange County	genome	29883	Human	54	Male	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Uehara et al	https://www.gisaid.org	?	2020-01-27	
